season,school,state_place,state_score,sex,n_finishers_raw,n_finishers,star_z,depth_z,pack_gap,star_time,depth_time,canonical,sector,wcac,enrollment_9_12,aliases,log_enrollment,lag_star_z,lag_depth_z,lag_pack_gap,lag_state_place,lag_state_score,fit_set,holdout,score_source
2023,Sidwell Friends,5,177,M,6,6,-0.66584648966225,-0.14199487105848532,0.5238516186037647,1068.93,1165.9,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,6.152732694704104,-1.0868493045589747,-0.30468521265598,0.7821640919029946,5.0,124.0,True,False,posted_team_table
2024,Sidwell Friends,6,214,M,30,7,-1.0762267531435272,-0.8475732951323521,0.2286534580111751,1067.38,1128.69,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,6.152732694704104,-0.66584648966225,-0.14199487105848532,0.5238516186037647,5.0,177.0,True,False,posted_team_table
2025,Sidwell Friends,5,157,M,7,7,-0.6687642976518348,-0.4779063743148696,0.19085792333696516,1058.41,1090.43,Sidwell Friends,private,0,470,Sidwell Friends;Sidwell Frie;Sidwell Friends School,6.152732694704104,-1.0762267531435272,-0.8475732951323521,0.2286534580111751,6.0,214.0,False,True,posted_team_table
2019,St. Albans,5,117,M,6,6,-1.2573354721770056,-0.21023230298966814,1.0471031691873374,1007.32,1133.64,St. Albans,private,0,375,St Albans;St. Albans;St. Albans School;St Albans School,5.926926025970411,,,,,,False,False,posted_team_table
2021,St. Albans,2,63,M,7,7,-1.0185085884343374,-0.5762242874786984,0.4422843009556391,960.87,1077.34,St. Albans,private,0,375,St Albans;St. Albans;St. Albans School;St Albans School,5.926926025970411,-1.2573354721770056,-0.21023230298966814,1.0471031691873374,5.0,117.0,True,False,posted_team_table
2022,St. Albans,1,30,,7,7,-1.9722106606347956,-1.052687451591419,0.9195232090433765,952.3,1081.5,St. Albans,private,0,375,St Albans;St. Albans;St. Albans School;St Albans School,5.926926025970411,-1.0185085884343374,-0.5762242874786984,0.4422843009556391,2.0,63.0,True,False,reconstructed_from_individuals
2023,St. Albans,2,43,M,7,7,-1.3326403979252457,-0.8470903981303977,0.48554999979484803,945.5,1035.38,St. Albans,private,0,375,St Albans;St. Albans;St. Albans School;St Albans School,5.926926025970411,-1.9722106606347956,-1.052687451591419,0.9195232090433765,1.0,30.0,True,False,posted_team_table
2024,St. Albans,1,25,M,42,7,-1.6130831433035127,-1.396587739004887,0.21649540429862557,923.43,981.48,St. Albans,private,0,375,St Albans;St. Albans;St. Albans School;St Albans School,5.926926025970411,-1.3326403979252457,-0.8470903981303977,0.48554999979484803,2.0,43.0,True,False,posted_team_table
2025,St. Albans,3,67,M,7,7,-1.3907699270649088,-0.6689431151939992,0.7218268118709096,937.28,1058.38,St. Albans,private,0,375,St Albans;St. Albans;St. Albans School;St Albans School,5.926926025970411,-1.6130831433035127,-1.396587739004887,0.21649540429862557,1.0,25.0,False,True,posted_team_table
2019,St. Anselm's Abbey,10,296,M,4,4,-0.039638705603068085,,,1154.22,,St. Anselm's Abbey,private,0,250,St. Anselm's Abbey School;St Anselms Abbey;St. Anselm's Abbey;St. Anselms,5.521460917862246,,,,,,False,False,posted_team_table
2019,St. John's College,2,61,M,6,6,-1.0627858254003533,-0.8232253314998298,0.23956049390052347,1030.79,1059.69,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,7.003065458786462,,,,,,False,False,posted_team_table
2021,St. John's College,1,41,M,7,7,-0.9814078962360324,-0.6734379743033256,0.3079699219327068,970.64,1051.74,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,7.003065458786462,-1.0627858254003533,-0.8232253314998298,0.23956049390052347,2.0,61.0,True,False,posted_team_table
2022,St. John's College,3,85,,6,6,-1.4548009292303568,-0.4000537188570722,1.0547472103732844,1025.0,1173.2,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,7.003065458786462,-0.9814078962360324,-0.6734379743033256,0.3079699219327068,1.0,41.0,True,False,reconstructed_from_individuals
2023,St. John's College,3,46,M,7,7,-1.162416983444431,-0.9405485089053297,0.2218684745391012,977.01,1018.08,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,7.003065458786462,-1.4548009292303568,-0.4000537188570722,1.0547472103732844,3.0,85.0,True,False,posted_team_table
2024,St. John's College,3,67,M,32,7,-1.6397861078991742,-1.1674121559876511,0.4723739519115231,916.27,1042.93,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,7.003065458786462,-1.162416983444431,-0.9405485089053297,0.2218684745391012,3.0,46.0,True,False,posted_team_table
2025,St. John's College,1,39,M,7,7,-1.483039778821818,-1.0535796483899513,0.4294601304318666,921.8,993.85,St. John's College,private,1,1100,St John's College;St. John's College;St. John's C;St. John's College High S;St John's College High School;St. John's College High,7.003065458786462,-1.6397861078991742,-1.1674121559876511,0.4723739519115231,3.0,67.0,False,True,posted_team_table
2024,Washington International,10,86,,11,7,-0.7891325890968753,0.010278089824922926,0.7994106789217983,1144.36,1358.71,Washington International,private,0,450,Washington International;Washington I;Washington International School,6.1092475827643655,,,,,,False,False,reconstructed_from_individuals
2019,Washington Latin,7,165,M,4,4,-1.2071023720719136,,,1013.38,,Washington Latin,charter,0,580,Washington Latin PCS;Washington L;Washington Latin Public C;Washington Latin;Latin HS;Washington Latin Public Charter,6.363028103540465,,,,,,False,False,posted_team_table
2021,Washington Latin,8,243,M,5,5,-0.6770834875592493,0.8093365684471556,1.486420056006405,1050.78,1442.21,Washington Latin,charter,0,580,Washington Latin PCS;Washington L;Washington Latin Public C;Washington Latin;Latin HS;Washington Latin Public Charter,6.363028103540465,-1.2071023720719136,,,7.0,165.0,False,False,posted_team_table
2022,Washington Latin,10,309,,6,6,0.05970788566461517,1.3187145085730774,1.2590066229084622,1237.8,1414.7,Washington Latin,charter,0,580,Washington Latin PCS;Washington L;Washington Latin Public C;Washington Latin;Latin HS;Washington Latin Public Charter,6.363028103540465,-0.6770834875592493,0.8093365684471556,1.486420056006405,8.0,243.0,True,False,reconstructed_from_individuals
2023,Washington Latin,9,288,M,6,6,-0.5608816866358391,0.48336414069331196,1.044245827329151,1088.36,1281.66,Washington Latin,charter,0,580,Washington Latin PCS;Washington L;Washington Latin Public C;Washington Latin;Latin HS;Washington Latin Public Charter,6.363028103540465,0.05970788566461517,1.3187145085730774,1.2590066229084622,10.0,309.0,True,False,posted_team_table
2024,Washington Latin,7,234,M,15,7,-1.2575533088196544,-0.5904267296475936,0.6671265791720609,1018.76,1197.64,Washington Latin,charter,0,580,Washington Latin PCS;Washington L;Washington Latin Public C;Washington Latin;Latin HS;Washington Latin Public Charter,6.363028103540465,-0.5608816866358391,0.48336414069331196,1.044245827329151,9.0,288.0,True,False,posted_team_table
2025,Washington Latin,8,239,M,7,7,-1.363351237266344,0.17227420899544157,1.5356254462617858,941.88,1199.51,Washington Latin,charter,0,580,Washington Latin PCS;Washington L;Washington Latin Public C;Washington Latin;Latin HS;Washington Latin Public Charter,6.363028103540465,-1.2575533088196544,-0.5904267296475936,0.6671265791720609,7.0,234.0,False,True,posted_team_table
